row,date,description,town,lat,lon,status,thumbnail_url,video_url
151,2026-05-03,company commander tank bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-03_company_commander_tank_bayyadah_mmirleb_16007.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-03_company_commander_tank_bayyadah_mmirleb_16007.mp4
152,2026-05-02,Strike on namer apc in bint jbeil,Bint Jbeil,33.12122222,35.43349722,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-02_strike_on_namer_apc_in_bint_jbeil.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-02_strike_on_namer_apc_in_bint_jbeil.mp4
153,2026-05-02,Strike on drone control system,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-02_strike_on_drone_control_system.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-02_strike_on_drone_control_system.mp4
155,2026-05-01,Strike on soldiers,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-01_strike_on_soldiers.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-01_strike_on_soldiers.mp4
156,2026-05-01,Strike on humvee,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-01_strike_on_humvee.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-01_strike_on_humvee.mp4
157,2026-05-01,namer vehicle bint jbeil,Bint Jbeil,33.12122222,35.43349722,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-01_namer_vehicle_bint_jbeil_mmirleb_15898.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-01_namer_vehicle_bint_jbeil_mmirleb_15898.mp4
158,2026-05-01,merkava tank rashaf,Rachaf / Rashaf,33.14407222,35.36260833,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-05-01_merkava_tank_rashaf_mmirleb_15950.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-05-01_merkava_tank_rashaf_mmirleb_15950.mp4
159,2026-04-30,Strike on humvee in naqoura,Naqoura,33.118975,35.14008333,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-04-30_strike_on_humvee_in_naqoura.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-04-30_strike_on_humvee_in_naqoura.mp4
160,2026-04-29,Strike on merkava tank,Beit Lif,33.13361111,35.33277778,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-04-29_strike_on_merkava_tank.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-04-29_strike_on_merkava_tank.mp4
161,2026-04-24,D9 engineering vehicle between taybeh and deir siryan,Taybeh,33.27614167,35.52115278,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-04-24_d9_engineering_vehicle_between_taybeh_and_deir_siryan.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-04-24_d9_engineering_vehicle_between_taybeh_and_deir_siryan.mp4
